Statistik_Code,Statistik_Label,Zeit_Code,Zeit_Label,Zeit,1_Merkmal_Code,1_Merkmal_Label,1_Auspraegung_Code,1_Auspraegung_Label,2_Merkmal_Code,2_Merkmal_Label,2_Auspraegung_Code,2_Auspraegung_Label,3_Merkmal_Code,3_Merkmal_Label,3_Auspraegung_Code,3_Auspraegung_Label,BEV027__Auslaender__Anzahl
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST164,Tschechien,1265
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,,Insgesamt,404250
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST124,Belgien,1135
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST126,Dänemark,1755
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST129,Frankreich,11380
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST148,Niederlande,3330
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST151,Österreich,7070
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST152,Polen,34165
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST158,Schweiz,1835
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST164,Tschechien,1620
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,,Insgesamt,848400
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST124,Belgien,2540
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST126,Dänemark,3475
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST129,Frankreich,22600
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST148,Niederlande,7885
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST151,Österreich,14025
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST152,Polen,66855
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST158,Schweiz,3425
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,11,Berlin,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST164,Tschechien,2885
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,,Insgesamt,83740
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST124,Belgien,130
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST126,Dänemark,95
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST129,Frankreich,495
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST148,Niederlande,715
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST151,Österreich,740
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST152,Polen,13980
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST158,Schweiz,290
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST164,Tschechien,315
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,,Insgesamt,65800
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST124,Belgien,85
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST126,Dänemark,85
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST129,Frankreich,515
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST148,Niederlande,430
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST151,Österreich,665
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST152,Polen,11530
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST158,Schweiz,270
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST164,Tschechien,470
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,,Insgesamt,149540
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST124,Belgien,215
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST126,Dänemark,180
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST129,Frankreich,1005
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST148,Niederlande,1145
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST151,Österreich,1405
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST152,Polen,25510
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST158,Schweiz,560
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,12,Brandenburg,GES,Geschlecht,,Insgesamt,STAAG6,Staatsangehörigkeit,ST164,Tschechien,785
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,,Insgesamt,74980
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST124,Belgien,120
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST126,Dänemark,85
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST129,Frankreich,510
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST148,Niederlande,590
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST151,Österreich,430
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST152,Polen,4700
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST158,Schweiz,120
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESM,männlich,STAAG6,Staatsangehörigkeit,ST164,Tschechien,110
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,,Insgesamt,65350
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST124,Belgien,80
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST126,Dänemark,125
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST129,Frankreich,525
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST148,Niederlande,435
12521,Ausländerstatistik,STAG,Stichtag,31.12.2021,DLAND,Bundesländer,04,Bremen,GES,Geschlecht,GESW,weiblich,STAAG6,Staatsangehörigkeit,ST151,Österreich,380
